link,brand,warranty,processor,ram,hardDrive,grapCard,capGrapCard,opSystem,screenSize,price,ram_GB,hardDrive_GB,OS
https://www.exito.com/portatil-lenovo-celeron-n4020-14-pulgadas-4-gb-128-gb-ssd-ideapad-1-14igl05-3054495/p,LENOVO,12,Celeron N4020,4 GB,128 GB SSD,,,Windows 10 Home,14 Pulgadas,1102710,4,128 SSD,Windows 10
https://www.exito.com/computador-portatil-asus-asus-intel-core-i3-1115g4-14-pulgadas-8-gb-256-gb-ssd-x415ea-ek1181w-3069447/p,ASUS,12,Intel Core i3-1115G4,8 GB,256 GB SSD,,,Windows 11,14 Pulgadas,1629999,8,256 SSD,Windows 11
https://www.exito.com/computador-asus-vivobook-16x-amd-ryzen-5-6-nucleos-8-gb-ram-512-gb-ssd-3109899/p,SSD ASUS,12,AMD Ryzen 5 5600H,8 GB,512 GB SSD,,,Windows 11 Home,16 Pulgadas,2119470,8,512 SSD,Windows 11
https://www.exito.com/computador-portatil-lenovo-ip-1-14ada7-amd-athlon-silver-8-gb-256-gb-ssd-ip-1-14ada7-3078268/p,LENOVO,12,AMD Athlon Silver 3050U,8 GB,256 GB SSD,,,Windows 11 Home 64,14 Pulgadas,1406330,8,256 SSD,Windows 11
https://www.exito.com/portatil-lenovo-ryzen-3-5300u-14-pulgadas-8-gb-256-gb-ssd-ideapad-3-14alc6-3054497/p,LENOVO,12,Ryzen 3 5300U,8 GB,256 GB SSD,,,Windows 11,14 Pulgadas,1799250,8,256 SSD,Windows 11
https://www.exito.com/computador-portatil-asus-zenbook-amd-ryzen-5-5500u-14-pulgadas-8-gb-512-gb-um425uaz-ki004w-3069450/p,GB ASUS,12,AMD Ryzen 5 5500U,8 GB,512 GB,,,Windows 11,14 Pulgadas,3399320,8,512,Windows 11
https://www.exito.com/computador-asus-vivobook-14-amd-ryzen-7-4700u-16-gb-512-gb-ssd-m413ia-eb1048w-3089574/p,ASUS,12,AMD Ryzen 7 4700U,16 GB,512 GB SSD,,,Windows 11 Home,14 Pulgadas,2999400,16,512 SSD,Windows 11
https://www.exito.com/portatil-hp-amd-athlon-silver-s3050u-8-gb-256-gb-ssd-15-ef1501la-3082808/p,HP,12,AMD Athlon Silver 3050U,8 GB,256 GB SSD,,,Windows 11,15.6 Pulgadas,1444910,8,256 SSD,Windows 11
https://www.exito.com/portatil-lenovo-ideapad-3-15alc05-amd-ryzen-7-156-pulgadas-16-gb-512-gb-ssd-ip-5-15alc05-3067356/p,LENOVO,12,AMD Ryzen 7 5700U,16 GB,512 GB SSD,,,Windows 11,15.6 Pulgadas,3869100,16,512 SSD,Windows 11
https://www.exito.com/computador-portatil-hp-amd-ryzen-7-5700u-12-gb-512-gb-ssd-15-ef2526la-3094734/p,HP,12,AMD Ryzen 7-5700U,12 GB,512 GB SSD,,,Windows 11,15.6 Pulgadas,3023370,12,512 SSD,Windows 11
https://www.exito.com/computador-portatil-lenovo-amd-3020e-8gbram-128gbssd-14-pulgadas-ideapad3-14ada05-102589569-mp/p,LENOVO,12,,8 GB,128 GB,,,Windows,14 Pulgadas,910000,8,128,Windows
https://www.exito.com/computador-lenovo-intel-core-i7-4-16-gb-ram-512-gb-ssd-3117766/p,SSD LENOVO,12,Intel Core i7-1165G7,16 GB,512 GB SSD,Intel Iris X,,Windows 11 Home Single Language,14 Pulgadas,3499220,16,512 SSD,Windows 11
https://www.exito.com/computador-portatil-hp-pavilion-amd-ryzen-5-4500u-8-gb-256-gb-ssd-15-eh0008la-3113717/p,SSD HP,12,AMD Ryzen 5 4500U,8 GB,256 GB SSD,,,Windows,15.6 Pulgadas,2094533,8,256 SSD,Windows
https://www.exito.com/computador-portatil-hp-intel-core-i3-10110u-14-pulgadas-8-gb-512-gb-ssd-14-cf2066la-3064569/p,HP,12,Intel Core i3-10110U,8 GB,512 GB SSD,,,Windows 10 Home 64,14 Pulgadas,1499000,8,512 SSD,Windows 10
https://www.exito.com/portatil-asus-intel-core-i5-1135g7-156-pulgadas-8-gb-512-gb-ssd-90nb0sg2-m38210-3050413/p,ASUS,12,Intel Core i5-1135G7,8 GB,512 GB SSD,Intel Iris X,,Windows 11 Home,15.6 Pulgadas,2319000,8,512 SSD,Windows 11
https://www.exito.com/computador-portatil-hp-intel-pentium-silver-n5030-8-gb-256-gb-ssd-14-dq0508la-3094733/p,HP,12,Intel Pentium Silver N5030,8 GB,256 GB SSD,,,Windows 11 Home,14 Pulgadas,1452930,8,256 SSD,Windows 11
https://www.exito.com/computador-portatil-hp-intel-core-i5-1135g7-4-gb-256-gb-ssd-14-dq2518la-3094730/p,HP,12,Intel Core i5-1135G7,4 GB,256 GB SSD,,,Windows 11,14 Pulgadas,1819480,4,256 SSD,Windows 11
https://www.exito.com/computador-portatil-hp-intel-core-i3-1115g4-12-gb-256-gb-ssd-15-dw3503la-3111530/p,HP,12,Intel Core i3-1115G4,12 GB,256 GB SSD,,,Windows,15.6 Pulgadas,1785530,12,256 SSD,Windows
https://www.exito.com/computador-asus-intel-core-i3-1115g4-8-gb-512-gb-ssd-x515ea-br3238w-3109902/p,ASUS,12,Intel Core i3-1115G4,8 GB,512 GB SSD,,,Windows 11 Home,15.6 Pulgadas,1749500,8,512 SSD,Windows 11
https://www.exito.com/computador-portatil-hp-amd-ryzen-3-5300u-156-pulgadas-4-gb-256-gb-ssd-15-ef2503la-3064571/p,HP,12,AMD Ryzen 3 5300U,4 GB,256 GB SSD,,,Windows 11,15.6 Pulgadas,1512504,4,256 SSD,Windows 11
https://www.exito.com/portatil-hp-intel-core-i7-1255u-12-gb-512-gb-ssd-15-dy5010la-3082810/p,HP,12,Intel Core i7-1255U,12 GB,512 GB SSD,,,Windows 11,15.6 Pulgadas,3725310,12,512 SSD,Windows 11
https://www.exito.com/computador-portatil-lenovo-athlon-silver-73817/p,LENOVO,12,Athlon Silver 3050U 2,8 GB,256 GB SSD,,,Windows,14 Pulgadas,1193459,8,256 SSD,Windows
https://www.exito.com/computador-lenovo-intel-core-i5-1155g7-8-gb-256-gb-ssd-ideapad-3-14itl6-3110243/p,SSD LENOVO,12,Intel Core i5-1155G7,8 GB,256 GB SSD,Intel Iris X,,Windows 11 Home Single Language,14 Pulgadas,1979340,8,256 SSD,Windows 11
https://www.exito.com/computador-acer-aspire-3-a314-35-c36l-intel-celeron-4-gb-500-gb-hdd-a314-35-c36l-3101198/p,ACER,12,Intel Celeron N4500,4 GB,500 GB HDD,,,Windows 10,14 Pulgadas,896999,4,,Windows 10
https://www.exito.com/computador-portatil-lenovo-amd-3020e-4gbram-128gbssd-14-pulgadas-ideapad3-14ada05-102589572-mp/p,LENOVO,12,,4 GB,128 GB,,,Windows,14 Pulgadas,848900,4,128,Windows
https://www.exito.com/computador-portatil-lenovo-r5-5500u-20gb-ram-256gb-ssd-14-pulgadas-fhd-ideapad3-102559559-mp/p,LENOVO,12,,20 GB,256 GB,,,DOS,14 Pulgadas,2072999,20,256,FreeDos
https://www.exito.com/computador-portatil-lenovo-ip-1-14igl7-intel-celeron-4-gb-128-gb-ssd-ip-1-14igl7-3078259/p,LENOVO,12,Intel Celeron N4020,4 GB,128 GB SSD,,,Windows 11 Home 64,14 Pulgadas,1101420,4,128 SSD,Windows 11
https://www.exito.com/computador-lenovo-intel-core-i3-1215u-8-gb-512-gb-ssd-ideapad-1-14iau7-3110242/p,SSD LENOVO,12,Intel Core i3-1215U,8 GB,512 GB SSD,,,Windows 11 Home Single Language,14 Pulgadas,1884350,8,512 SSD,Windows 11
https://www.exito.com/computador-asus-zenbook-amd-ryzen-5-5600h-16-gb-512-gb-ssd-um425qa-ki180w-3078717/p,ASUS,12,AMD Ryzen 5 5600H,16 GB,512 GB SSD,,,Windows 11,14 Pulgadas,3599900,16,512 SSD,Windows 11
https://www.exito.com/computador-acer-aspire-3-a315-59-30e9-intel-core-i3-8-gb-256-gb-ssd-a315-59-30e9-3115768/p,SSD ACER,12,Intel Core i3 1215U,8 GB,256 GB SSD,,,Windows 11,15.6 Pulgadas,1889370,8,256 SSD,Windows 11
https://www.exito.com/computador-portatil-dell-3515-ryzen-5-3450u-16gbram256gbssd1tb-hdd-156-pulgadas-hd-102417529-mp/p,DELL,12,,16 GB,H,,,DOS,15.6 Pulgadas,1899899,16,,FreeDos
https://www.exito.com/computador-portatil-lenovo-intel-i3-1115g4-12gb-ram-512gb-ssd-14-pulgadas-fhd-ideapad-3-102559567-mp/p,LENOVO,12,,12 GB,512 GB,,,DOS,14 Pulgadas,1599900,12,512,FreeDos
https://www.exito.com/computador-portatil-acer-aspire-5-amd-ryzen-3-5300u-4-gb-256-gb-ssd-a515-45-r6hw-3092410/p,ACER,12,AMD Ryzen3 5300U,4 GB,256 GB SSD,,,Windows 10,15.6 Pulgadas,1463390,4,256 SSD,Windows 10
https://www.exito.com/computador-portatil-hp-pavilion-amd-ryzen-7-5700u-16-gb-512-gb-ssd-15-eh1021la-3081371/p,HP,12,AMD Ryzen 7 5700U,16 GB,512 GB SSD,,,Windows 11,15.6 Pulgadas,3899000,16,512 SSD,Windows 11
https://www.exito.com/computador-portatil-hp-pavilion-amd-ryzen-3-5300u-8-gb-256-gb-ssd-15-eh1500la-3091382/p,HP,12,AMD Ryzen 3-5300U,8 GB,256 GB SSD,,,Windows 11,15.6 Pulgadas,1889460,8,256 SSD,Windows 11
https://www.exito.com/computador-portatil-asus-ryzen-7-5700u-16gbram-512gb-oled-156-pulgadas-fhd-oled-vivobook-m513ua-l1304-102480052-mp/p,ASUS,12,,16 GB,512 GB,,,DOS,15.6 Pulgadas,3450000,16,512,FreeDos
https://www.exito.com/computador-portatil-hp-amd-ryzen-3-5300u-8-gb-512-gb-ssd-14-fq1004la-3111528/p,HP,12,AMD Ryzen 3 5300U,8 GB,512 GB SSD,,,Windows,14 Pulgadas,1784490,8,512 SSD,Windows
https://www.exito.com/computador-portatil-lenovo-ip-5-15alc05-amd-ryzen-5-16-gb-512-gb-ssd-ip-3-14itl05-3078264/p,LENOVO,12,AMD Ryzen 5 5500U,16 GB,512 GB SSD,,,Windows 11,15.6 Pulgadas,3119220,16,512 SSD,Windows 11
https://www.exito.com/computador-portatil-gamer-acer-156-intel-core-i5-10300h-ram-20gb-disco-256-ssd-1-tb-hdd-102182795-mp/p,ACER,12,,20 GB,H,,,Windows,15.6 Pulgadas,3809000,20,,Windows
https://www.exito.com/computador-portatil-acer-nitro-an515-57-ci5-11400h-156-pulgadas-fhd-ram-8gb-512ssd-windows-10-home-color-negro-102373084-mp/p,ACER,12,Intel Core i5,8 GB,512 GB,GTX1650,4 GB,Windows 10,15.6 Pulgadas,3777600,8,512,Windows 10
https://www.exito.com/computador-portatil-hp-14-pulgadas-ci3-4gb-512gb-ssd-14-cf2060la-100883/p,HP,12,Intel Core i3,4 GB,512 GB SSD,,,Windows,14 Pulgadas,1449000,4,512 SSD,Windows
https://www.exito.com/computador-portatil-hp-240-g7-intel-celeron-n4020-ram-4gb-dd-500gb-linux-102575252-mp/p,HP,12,,4 GB,Mec,,,Linux,14.1 pulgadas,819900,4,,Linux
https://www.exito.com/computador-portatil-hp-14-dq0517la-celeron-ram-4gb-ssd-256gb-14-102430088-mp/p,HP,12,,4 GB,256 GB,,,FreeDos,14.1 pulgadas,869900,4,256,FreeDos
https://www.exito.com/computador-portatil-asus-intel-corei5-11va-12gb-ram-256gb-ssd-14-pulgadas-fhd-x415e-102311618-mp/p,ASUS,12,i5 1135g7,12 GB,256 GB,Tarjeta gráfica Intel,,Windows,14 Pulgadas,2280000,12,256,Windows
https://www.exito.com/computador-portatil-dell-corei5-1135g7-16gb-ram-1tb-hdd-14-pulgadas-vostro-3400-102558839-mp/p,DELL,12,,16 GB,Mec,,,Ubuntu,14 Pulgadas,1857900,16,,Ubuntu
https://www.exito.com/computador-portatil-corporativo-i5-1135g7-ram-16gbram-256gb-ssd-fhd-win11pro-p1412ce-102482618-mp/p,ASUS,12,,16 GB,256 GB,,,Windows,14 Pulgadas,2649900,16,256,Windows
https://www.exito.com/computador-portatil-asus-intel-core-i3-1115g4-12gbram-256gb-ssd-14-pulgadas-fhd-x415ea-102480045-mp/p,ASUS,12,,12 GB,256 GB,,,Endless,14 Pulgadas,1625900,12,256,Endless
https://www.exito.com/computador-portatil-hp-envy-amd-ryzen-5-5600u-8-gb-512-gb-ssd-13-ay1021la-3091379/p,HP,12,AMD Ryzen 5-5600U,8 GB,512 GB SSD,,,Windows 11,13.3 Pulgadas,4399000,8,512 SSD,Windows 11
https://www.exito.com/computador-portatil-lenovo-pentium-58256/p,LENOVO,12,Pentium 6405U,8 GB,512 GB SSD,,,Windows 10,14 Pulgadas,1439130,8,512 SSD,Windows 10
https://www.exito.com/computador-portatil-hp-pavilion-amd-ryzen-5-5600u-8-gb-512-gb-ssd-13-be0500la-3078589/p,HP,12,AMD Ryzen 5 5600U,8 GB,512 GB SSD,,,Windows 10,13.3 Pulgadas,3099380,8,512 SSD,Windows 10
https://www.exito.com/computador-acer-intel-core-i5-1035g1-156-pulgadas-4-gb-1-tb-hdd-a315-56-55rs-3053972/p,ACER,12,Intel Core i5 1035G1,4 GB,1 TB HDD,,,Windows 10,15.6 Pulgadas,1989000,4,,Windows 10
https://www.exito.com/computador-huawei-matebook-intel-core-i5-10210u-156-pulgadas-8-gb-512-gb-ssd-matebook-d15-i5-3068718/p,HUAWEI,12,Intel Core i5,8 GB,512 GB SSD,,,Windows,15.6 Pulgadas,2979000,8,512 SSD,Windows
https://www.exito.com/computador-portatil-hp-pavilion-intel-core-i5-1235u-8-gb-512-gb-ssd-14-dv2006la-3091381/p,HP,12,Intel Core i5-1235U,8 GB,512 GB SSD,,,Windows 11,14 Pulgadas,3518310,8,512 SSD,Windows 11
https://www.exito.com/computador-portatil-asus-vivobook-pro-ryzen-7-4800h-16-gb-512-ssd-102432395-mp/p,ASUS,12,AMD Ryzen 7 4800H,16 GB,512 GB,,,Windows 10,15.6 Pulgadas,3049000,16,512,Windows 10
https://www.exito.com/computador-portatil-asus-intel-core-i3-1115g4-8gbram-256gb-ssd-14-pulgadas-fhd-102480044-mp/p,ASUS,12,,8 GB,256 GB,,,Endless,14 Pulgadas,1559900,8,256,Endless
https://www.exito.com/portatil-asus-intel-core-i7-1195g7-14-pulgadas-16-gb-512-gb-ssd-90nb0s41-m001k0-3050411/p,ASUS,12,Intel Core i7-1195G7,16 GB,512 GB SSD,Intel Iris X,,Windows 11 Home,14 Pulgadas,7199900,16,512 SSD,Windows 11
https://www.exito.com/portatil-ci3-4gb-128gb-ssd-asus-x413ea-eb659t-3011213/p,ASUS,12,Intel Core i3-1115G4,4 GB,128 GB SSD,,,Windows 10,14 Pulgadas,1349800,4,128 SSD,Windows 10
https://www.exito.com/portatil-lenovo-ip-3-14iml05-intel-core-i3-14-pulgadas-4-gb-256-gb-ssd-ip-3-14iml05-3067357/p,LENOVO,12,CORE i3-10110U,4 GB,256 GB SSD,,,Windows 11 Home 64,14 Pulgadas,1407360,4,256 SSD,Windows 11
https://www.exito.com/computador-acer-aspire-3-amd-ryzen-5-7520u-8-gb-512-gb-ssd-a315-24p-r7jm-3116823/p,SSD ACER,12,AMD Ryzen5 7520U,8 GB,512 GB SSD,,,Windows 11,15.6 Pulgadas,2108430,8,512 SSD,Windows 11
https://www.exito.com/portatil-asus-amd-ryzen-7-5700u-156-pulgadas-16-gb-512-gb-ssd-90nb0tp1-m000t0-3050409/p,ASUS,12,AMD Ryzen 7 5700U,16 GB,512 GB SSD,,,Windows 11 Home,15.6 Pulgadas,3840000,16,512 SSD,Windows 11
https://www.exito.com/computador-portatil-gamer-acer-156-intel-core-i5-10300h-ram-8gb-disco-256-ssd-1-tb-hdd-102178156-mp/p,ACER NITRO,12,,8 GB,H,,,Windows,15 Pulgadas,3529999,8,,Windows
https://www.exito.com/portatil-hp-intel-core-i3-10110u-14-pulgadas-8-gb-256-gb-ssd-14-cf2518la-3054542/p,HP,12,Intel Core i3-10110U,8 GB,256 GB SSD,,,Windows 10,14 Pulgadas,1780623,8,256 SSD,Windows 10
https://www.exito.com/computador-portatil-acer-nitro-intel-i5-11400h-16-gb-512-ssd-gtx-1650-102359076-mp/p,ACER,12,11400H intel I5,16 GB,512 GB,GTX1650,4 GB,Windows,15.6 Pulgadas,3498899,16,512,Windows
https://www.exito.com/portatil-asus-amd-ryzen-7-4700u-156-pulgadas-16-gb-512-gb-ssd-90nb0rr2-m000h0-3050406/p,ASUS,12,AMD Ryzen 7 4700U,16 GB,512 GB SSD,,,Windows 10 Home,15.6 Pulgadas,3049900,16,512 SSD,Windows 10
https://www.exito.com/computador-portatil-dell-corei5-1135g7-12gb-1tb-hdd-14-pulgadas-vostro-3400-102558826-mp/p,DELL,12,,12 GB,Mec,,,Ubuntu,14 Pulgadas,1799900,12,,Ubuntu
https://www.exito.com/computador-acer-a315-58-57pz-core-i5-1135g7-ddr4-8gb-ssd-512gb-156-pulgadas-fhd-tv-iris-xe-windows-11-home-102567079-mp/p,ACER,12,,8 GB,512 GB,,,Windows,15 Pulgadas,2319000,8,512,Windows
https://www.exito.com/computador-lenovo-intel-celeron-n4020-4-gb-256-gb-ssd-windos-11-102584459-mp/p,LENOVO,12,CELERON,4 GB,256 GB,,,Windows,14.1 pulgadas,945000,4,256,Windows
https://www.exito.com/computador-portatil-lenovo-intel-i3-1115g4-8gb-ram-512gb-ssd-14-pulgadas-fhd-ideapad-3-102559571-mp/p,LENOVO,12,,8 GB,512 GB,,,DOS,14 Pulgadas,1559900,8,512,FreeDos
https://www.exito.com/computador-portatil-lenovo-intel-i3-1115g4-20gb-ram-512gb-ssd-14-pulgadas-fhd-ideapad3-102559562-mp/p,LENOVO,12,,20 GB,512 GB,,,DOS,14 Pulgadas,1684900,20,512,FreeDos
https://www.exito.com/computador-acer-aspire-5-intel-core-i5-1235u-8-gb-512-gb-ssd-a514-55-52ly-3103210/p,ACER,12,Intel Core i5 1235U,8 GB,512 GB SSD,,,Windows 11,14 Pulgadas,2981290,8,512 SSD,Windows 11
https://www.exito.com/portatil-athlon-gold-8gb-256gb-lenovo-ip314ada05-809223/p,LENOVO,12,ATHLON 3150U 2,8 GB,256 GB SSD,,,Windows,14 Pulgadas,1389000,8,256 SSD,Windows
https://www.exito.com/computador-portatil-gamer-acer-156-intel-core-i5-10300h-ram-16gb-disco-256-ssd-1-tb-hdd-102182794-mp/p,ACER,12,,16 GB,H,,,Windows 10,15.6 Pulgadas,3797999,16,,Windows 10
https://www.exito.com/computador-portatil-gaming-acer-156-pulgadas-pulgadas-an515-55-54y1-intel-core-i5-8gb-ram-disco-solido-512gb-ne-101994218-mp/p,ACER NITRO,12,Intel Core i5 10300H,8 GB,512 GB,4 GB,4 GB,Windows 10,15.6 Pulgadas,3399999,8,512,Windows 10
https://www.exito.com/computador-acer-n18q13-intel-core-i5-156-pulgadas-8-gb-256-gb-ssd-a315-57g-59kn-funda-gris-3068607/p,ACER,12,Intel Core i5 1035G1,8 GB,256 GB SSD,2 GB,2 GB,Windows 10,15.6 Pulgadas,2399000,8,256 SSD,Windows 10
https://www.exito.com/computador-portatil-hp-156-pulgadas-pulgadas-15-dw1066la-intel-core-i5-8-gb-ram-disco-estado-solido-512-gb-plateado-101994221-mp/p,HP,12,Intel Core i5-10210U,8 GB,512 GB,,,Windows 10,15.6 Pulgadas,2399000,8,512,Windows 10
https://www.exito.com/computador-dell-inspiron-15-3515-amd-ryzen-7-3700u-ram-16gb-ssd512gb-fhd-156-pulgadas-102482638-mp/p,DELL,12,RYZEN 7 3700U,16 GB,512 GB,,,Windows,15 Pulgadas,2795900,16,512,Windows
https://www.exito.com/computador-portatil-hp-intel-core-i5-1135g7-14-pulgadas-8-gb-512-gb-ssd-14-dv0502la-3064567/p,HP,12,Intel Core i5-1135G7,8 GB,512 GB SSD,,,Windows 10 Home 64,14 Pulgadas,2899899,8,512 SSD,Windows 10
https://www.exito.com/computador-acer-vero-intel-core-i5-1235u-8-gb-512-gb-ssd-av14-51-54b9-3103217/p,ACER,12,Intel Core i5 1235U,8 GB,512 GB SSD,,,Windows 11,14 Pulgadas,2966310,8,512 SSD,Windows 11
https://www.exito.com/computador-portatil-hp-14-cf2509la-celeron-ram-4gb-ssd-256gb-14-102057639-mp/p,HP,12,Intel Celeron N4020,4 GB,256 GB,,,FreeDos,14.1 pulgadas,1090000,4,256,FreeDos
https://www.exito.com/computador-portatil-asus-vivobook-x415ja-i3-1005g1-8gb-ram256gb-ssd-14-pulgadas-102436561-mp/p,ASUS,12,,8 GB,256 GB,,,DOS,14 Pulgadas,1499900,8,256,FreeDos
https://www.exito.com/computador-portatil-janus-i3-10110u-ram-8gb-ssd-512gb-lcd-14-102088339-mp/p,JANUS,12,INTEL,8 GB,512 GB,,,Windows,14 Pulgadas,1486000,8,512,Windows
https://www.exito.com/computador-portatil-asus-intel-core-i3-1115g4-20gbram-256gb-ssd-14-pulgadas-fhd-x415ea-102480036-mp/p,ASUS,12,,20 GB,256 GB,,,Endless,14 Pulgadas,1659900,20,256,Endless
https://www.exito.com/computador-portatil-hp-156-pulgadas-pulgadas-ef2511la-amd-ryzen-5-ram-8gb-disco-ssd-256-gb-azul-102166852-mp/p,HP,12,,8 GB,256 GB,,,Windows 10,15 Pulgadas,2717900,8,256,Windows 10
https://www.exito.com/computador-portatil-asus-ryzen-3-256gb-ssd-8gb-ram-156-pulgadas-fhd-m515da-102735519-mp/p,ASUS,12,,8 GB,256 GB,,,FreeDos,14 Pulgadas,1459990,8,256,FreeDos
